"12/21/2018 15:46:29","hafiz dahnin","Alamanda DS (R0001-B0029)","kwok wai","60162211123","Apple iPhone X 64GB | RRP: MYR 4299","543234323432342","Phone Freedom 365","Digi Postpaid 190","RM 49 Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","","","","","","","","","Yes, I agree.","Yes, I agree."
"12/21/2018 15:49:27","hafiz d","A & F MARKETING SDN BHD (DS003-B0588)","bob","60162211432","Apple iPhone 6 32GB | RRP: MYR 1299","234231232123123","Phone Freedom 365","Digi Postpaid 160","","RM 49 Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","","","","","","","","Yes, I agree.","Yes, I agree."
"12/21/2018 15:50:48","chong weo","A & F MARKETING SDN BHD (DS003-B0588)","ali","60162211824","OPPO F7 64GB | RRP: MYR 1099","232343123123422","Phone Freedom 365","Digi Postpaid 120","","","RM 39 Accidental & Liquid Damage Cover","","","","","","","Yes, I agree.","Yes, I agree."
"12/21/2018 15:53:15","abu","DSS DIGITAL SDN. BHD. (D1226-SS001)","minah","60162211805","Vivo V9 64GB | RRP: MYR 1099","233256545656766","Digi Phone Bundle","","","","","","Digi Postpaid 80","","","","RM 69 Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","Yes, I agree.","Yes, I agree."
"1/29/2019 10:56:01","Fathin","ALPHACOM (DS002-Q0159)","Bob","60162211800","Huawei Nova 2i 64GB | RRP: MYR 942","123456765432345","Phone Freedom 365","Digi Postpaid 190","RM49 Monthly Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","","","","","","","","","Yes, I agree.","Yes, I agree."
"1/29/2019 10:59:04","Kwok Wai","ADVANTECH COM ENTERPRISE (D0470-AS001)","Minah","60162211800","Apple iPhone 7+ 128GB | RRP: MYR 3199","123455432112345","Phone Freedom 365","Digi Postpaid 160","","RM39 Monthly Accidental & Liquid Damage Cover","","","","","","","","Yes, I agree.","Yes, I agree."
"1/29/2019 10:59:53","Hafiz","ALPHACOM (DS002-Q0159)","Siti","60162211800","Apple iPhone 8+ 256GB | RRP: MYR 3999","123455432112345","Phone Freedom 365","Digi Postpaid 160","","RM69 Monthly Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","","","","","","","","Yes, I agree.","Yes, I agree."
"1/29/2019 11:00:48","Ammar Ishaque","AR COMMUNICATION CENTRE (DS002-T0139)","Abu","60162211800","Apple iPhone XR 128GB | RRP: MYR 3849","123455432112345","Phone Freedom 365","Digi Postpaid 160","","RM69 Monthly Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","","","","","","","","Yes, I agree.","Yes, I agree."
"1/29/2019 11:02:26","Suraesh","BOULEVARD IT SUPERSTORE SDN. BHD. (D1150-QS002)","Sharina","60162211800","OPPO A3s 32GB | RRP: MYR 599","123455432112345","Phone Freedom 365","Digi Postpaid 120","","","RM39 Monthly Accidental & Liquid Damage Cover","","","","","","","Yes, I agree.","Yes, I agree."
"1/29/2019 11:03:38","Sherizal","CENTURION MEDIA SDN. BHD. (D0481-PS002)","Joy","60162211800","Samsung Galaxy S9 64GB | RRP: MYR 3109","123455432112345","Phone Freedom 365","Digi Postpaid 120","","","RM69 Monthly Full Cover Theft + Accidental & Liquid Damage + 1st Year Support + Extended Warranty","","","","","","","Yes, I agree.","Yes, I agree."
